city,property_type,amenities
RGSLV,Cottage,Bonfire/Fireplace
CTSLV,Apartment,TV
CTSLV,Homestay,Balcony/Terrace
CTSLV,Hostel,Parking
CTSLV,Villa,Bonfire/Fireplace
CTSLV,Cottage,Bonfire/Fireplace
SLV,Apartment,TV
SLV,Homestay,Balcony/Terrace
SLV,Hostel,Parking
SLV,Villa,Bonfire/Fireplace
SLV,Cottage,Bonfire/Fireplace
RGSLV,Apartment,Wifi
RGSLV,Homestay,Parking
RGSLV,Hostel,Washing Machine
RGSLV,Villa,Balcony/Terrace
RGSLV,Cottage,Balcony/Terrace
CTSLV,Apartment,Wifi
CTSLV,Homestay,Parking
CTSLV,Hostel,Washing Machine
CTSLV,Villa,Balcony/Terrace
CTSLV,Cottage,Balcony/Terrace
SLV,Apartment,Wifi
SLV,Homestay,Parking
SLV,Hostel,Washing Machine
SLV,Villa,Balcony/Terrace
SLV,Cottage,Balcony/Terrace
RGSLV,Apartment,Parking
RGSLV,Homestay,TV
RGSLV,Hostel,Café
RGSLV,Villa,TV
RGSLV,Cottage,TV
CTSLV,Apartment,Parking
CTSLV,Homestay,TV
CTSLV,Hostel,Café
CTSLV,Villa,TV
CTSLV,Cottage,TV
SLV,Apartment,Parking
SLV,Homestay,TV
SLV,Hostel,Café
SLV,Villa,TV
SLV,Cottage,TV
RGSLV,Apartment,Lift/Elevator
RGSLV,Homestay,Lawn
RGSLV,Hostel,Indoor Games
RGSLV,Villa,Washing Machine
RGSLV,Cottage,Washing Machine
CTSLV,Apartment,Lift/Elevator
CTSLV,Homestay,Lawn
CTSLV,Hostel,Indoor Games
CTSLV,Villa,Washing Machine
CTSLV,Cottage,Washing Machine
SLV,Apartment,Lift/Elevator
SLV,Homestay,Lawn
SLV,Hostel,Indoor Games
SLV,Villa,Washing Machine
SLV,Cottage,Washing Machine
CTXLK,Apartment,Kitchen
CTXLK,Homestay,Caretaker
CTXLK,Hostel,Wifi
CTXLK,Villa,Swimming Pool
CTXLK,Cottage,Swimming Pool
XLK,Apartment,Kitchen
XLK,Homestay,Caretaker
XLK,Hostel,Wifi
XLK,Villa,Swimming Pool
XLK,Cottage,Swimming Pool
CTXLK,Apartment,Caretaker
CTXLK,Homestay,Wifi
CTXLK,Hostel,Bonfire
CTXLK,Villa,Caretaker
CTXLK,Cottage,Caretaker
XLK,Apartment,Caretaker
XLK,Homestay,Wifi
XLK,Hostel,Bonfire
XLK,Villa,Caretaker
XLK,Cottage,Caretaker
CTXLK,Apartment,Living Room
CTXLK,Homestay,Kitchen
CTXLK,Hostel,Living Room
CTXLK,Villa,Wifi
CTXLK,Cottage,Wifi
XLK,Apartment,Living Room
XLK,Homestay,Kitchen
XLK,Hostel,Living Room
XLK,Villa,Wifi
XLK,Cottage,Wifi
